blockNumber,timestamp, inputAmount,inputInUSD,outputAmount,outputInUSD,slippage,slippageIsAcceptable
14404428,1647469804,100000000000,100000000000000000000000,915611627887627116657,90889654294113574305640116,0.001100235233334763,true
14404675,1647470051,100000000000,100000000000000000000000,915607073038650834980,90888754467327574218598329,0.001100246126003934,true
14404922,1647470298,100000000000,100000000000000000000000,915602525971074123241,90887856185180098343148144,0.001100257000189929,true
14405169,1647470545,100000000000,100000000000000000000000,915597986599749281401,90886959430753000695301344,0.001100267856096454,true
14405416,1647470792,100000000000,100000000000000000000000,915593645099044138590,90886101952258398279245640,0.001100278236737769,true
14405663,1647471039,100000000000,100000000000000000000000,915589033189549615467,90885190789354717839322717,0.001100289267497614,true
14405910,1647471286,100000000000,100000000000000000000000,915584516344825275975,90884298499348757951555394,0.00110030006999192,true
14406157,1647471533,100000000000,100000000000000000000000,915580007589096851294,90883407814982131376547754,0.001100310853259124,true
14406404,1647471780,100000000000,100000000000000000000000,915575506376285200355,90882518627829672506471507,0.001100321618610802,true
14406651,1647472027,100000000000,100000000000000000000000,915571012594892019466,90881630915742586674629252,0.001100332366314059,true
14406898,1647472274,100000000000,100000000000000000000000,915566526280699124717,90880744685811093405201068,0.001100343096282007,true
14407145,1647472521,100000000000,100000000000000000000000,915562237429315015565,90879897656439266108885805,0.001100353351827465,true
14407392,1647472768,100000000000,100000000000000000000000,915557677756955105665,90878996862611301210748299,0.001100364258544552,true
14407639,1647473015,100000000000,100000000000000000000000,915553212841498608795,90878114879878810108891478,0.001100374937708361,true
14407886,1647473262,100000000000,100000000000000000000000,915548755676855116766,90877234435553209335406264,0.001100385598451681,true
14408133,1647473509,100000000000,100000000000000000000000,915544305772876229138,90876355432316700480750476,0.001100396241951829,true
14408380,1647473756,100000000000,100000000000000000000000,915539862982683593435,90875477840998587708202195,0.001100406868561024,true
14408627,1647474003,100000000000,100000000000000000000000,915535427279772935963,90874601656325031740342593,0.001100417478342143,true
14408874,1647474250,100000000000,100000000000000000000000,915531188747723581793,90873764606006379628307795,0.00110042761443373,true
14409121,1647474497,100000000000,100000000000000000000000,915526679201188900505,90872873754588503064083604,0.00110043840222397,true
14409368,1647474744,100000000000,100000000000000000000000,915522264015135337730,90872001634904848121062705,0.001100448963386638,true
14409615,1647474991,100000000000,100000000000000000000000,915517856381397782365,90871131014138741811016791,0.001100459506599966,true
14409862,1647475238,100000000000,100000000000000000000000,915513455585707435942,90870261750486372571099598,0.001100470033580207,true
14410109,1647475485,100000000000,100000000000000000000000,915509061622626660123,90869393842856179813564045,0.001100480544339645,true
14410356,1647475732,100000000000,100000000000000000000000,915504674502363104479,90868527293263758351764750,0.001100491038852933,true
14410603,1647475979,100000000000,100000000000000000000000,915500484215149247807,90867699816529301076354777,0.001100501060353785,true
14410850,1647476227,100000000000,100000000000000000000000,915496022575774213120,90866818473415915433867811,0.001100511734426534,true
14411097,1647476474,100000000000,100000000000000000000000,915491654970752651015,90865955796641842708096515,0.001100522182629104,true
14411344,1647476721,100000000000,100000000000000000000000,915487294593615397937,90865094554300253178251792,0.00110053261365662,true
14411591,1647476968,100000000000,100000000000000000000000,915482940842714693133,90864234626947557089302314,0.001100543028954794,true
14411838,1647477215,100000000000,100000000000000000000000,915478593591188196502,90863375989390904802579121,0.001100553428827868,true
14412085,1647477462,100000000000,100000000000000000000000,915474252868614004912,90862518647490569546026228,0.00110056381320398,true
14412332,1647477709,100000000000,100000000000000000000000,915469918636330272528,90861662593562271352107645,0.001100574182175323,true
14412579,1647477956,100000000000,100000000000000000000000,915465780927474303310,90860845542706142301789422,0.001100584078903363,true
14412826,1647478203,100000000000,100000000000000000000000,915461371557697524314,90859974566174171469955724,0.001100594629015321,true
14413073,1647478450,100000000000,100000000000000000000000,915457055942215893547,90859122199658996661284818,0.001100604953900548,true
14413320,1647478697,100000000000,100000000000000000000000,915452747250000153176,90858271207025470369244962,0.001100615262336927,true
14413567,1647478944,100000000000,100000000000000000000000,915448444842015905837,90857421461415577992000776,0.001100625555860255,true
14413814,1647479191,100000000000,100000000000000000000000,915444148610940750715,90856572941516363027234498,0.001100635834727875,true
14414061,1647479438,100000000000,100000000000000000000000,915439858626769030758,90855725661211315386514474,0.001100646098770774,true
14414308,1647479685,100000000000,100000000000000000000000,915435764911076901896,90854917338905950434959095,0.001100655891050796,true
14414555,1647479932,100000000000,100000000000000000000000,915431399179454163084,90854055022180183885038783,0.001100666337628926,true
14414802,1647480179,100000000000,100000000000000000000000,915427126942910603721,90853211263387470341272550,0.001100676559578016,true
14415049,1647480426,100000000000,100000000000000000000000,915422861358338416697,90852368824556075720711358,0.00110068676572549,true
14415296,1647480673,100000000000,100000000000000000000000,915418601788702018853,90851527579228282663818710,0.001100696957602541,true
14415543,1647480920,100000000000,100000000000000000000000,915414348147683715949,90850687510262528969166612,0.001100707135416052,true
14415790,1647481167,100000000000,100000000000000000000000,915410100450203693688,90849848620611596818333630,0.001100717299129461,true
14416037,1647481414,100000000000,100000000000000000000000,915406048833581804307,90849048643684776241919187,0.001100726991563838,true
14416284,1647481661,100000000000,100000000000000000000000,915401724944813540807,90848194623198803141512475,0.001100737338972548,true
14416531,1647481908,100000000000,100000000000000000000000,915397494375927784902,90847359125255435070604777,0.001100747462148298,true
14416778,1647482155,100000000000,100000000000000000000000,915393270113627738218,90846524878657878282295930,0.001100757570348103,true
14417025,1647482402,100000000000,100000000000000000000000,915389051627465647876,90845691778109578550473371,0.001100767664847,true
14417272,1647482649,100000000000,100000000000000000000000,915384838884398348107,90844859817044366802928642,0.001100777745723792,true
14417519,1647482896,100000000000,100000000000000000000000,915380631836333534323,90844028985907843492602160,0.001100787813093499,true
14417766,1647483143,100000000000,100000000000000000000000,915376430395582772906,90843199267287313244974538,0.001100797867166376,true
14418013,1647483390,100000000000,100000000000000000000000,915372424722995117015,90842408404649765643829629,0.001100807450574829,true
14418260,1647483637,100000000000,100000000000000000000000,915368146523464698317,90841563449822249622170018,0.001100817689638692,true
14418507,1647483884,100000000000,100000000000000000000000,915363961257039230321,90840736940072709278340185,0.00110082770537154,true
14418754,1647484131,100000000000,100000000000000000000000,915359782089162827119,90839911640309776137071960,0.0011008377066235,true
14419001,1647484378,100000000000,100000000000000000000000,915355608441836028503,90839087435803335497789225,0.00110084769478415,true
14419248,1647484625,100000000000,100000000000000000000000,915351440196416190438,90838264302997943342258744,0.00110085767013824,true
14419495,1647484872,100000000000,100000000000000000000000,915347277371613282223,90837442245599842279443575,0.001100867632640151,true
14419742,1647485119,100000000000,100000000000000000000000,915343310102991400990,90836658994179758541097248,0.001100877125020718,true
14419989,1647485366,100000000000,100000000000000000000000,915339070091828970291,90835821609469539003756004,0.001100887273634514,true
14420236,1647485613,100000000000,100000000000000000000000,915334922813687014620,90835002629532045105168687,0.0011008971993742,true
14420483,1647485860,100000000000,100000000000000000000000,915330781402515564375,90834184813567716410237701,0.001100907111185558,true
14420730,1647486107,100000000000,100000000000000000000000,915326645247691346772,90833368040376431987350284,0.001100917010536798,true
14420977,1647486354,100000000000,100000000000000000000000,915322514298867382982,90832552299958918131361751,0.001100926897548437,true
14421224,1647486601,100000000000,100000000000000000000000,915318388581942724209,90831737597447984183888555,0.001100936772157594,true
14421471,1647486848,100000000000,100000000000000000000000,915314267961321771600,90830923905925939490258744,0.00110094663468986,true
14421718,1647487095,100000000000,100000000000000000000000,915310342683468478427,90830148983318425701055317,0.001100956027479,true
14421965,1647487342,100000000000,100000000000000000000000,915306144298990003528,90829319857074572622037901,0.001100966077444552,true
